Habilidad_base,Habilidad_proceso_intermedio,Variación_semántica_habilidad,N_cluster,Habilidad_representativa_cluster
preparar propuestas extracción minera,preparar propuestas extracción minera,Preparar propuestas extracción minera,0,Gestionar proyectos de minería
evaluar proyectos desarrollo minero,evaluar proyectos desarrollo minero,Evaluar proyectos desarrollo minero,0,Gestionar proyectos de minería
comunicar plan producción,comunicar plan producción,Comunicar plan producción,1,Gestionar planes de producción
desglosar plan producción,desglosar plan producción,Desglosar plan producción,1,Gestionar planes de producción
aplicar políticas empresa,aplicar políticas empresa,Aplicar políticas empresa,2,Implementar políticas corporativas
programar controles equipos,programar controles equipos,Programar controles equipos,3,Programar sistemas de control de equipos
desarrollar procedimientos prueba electrónica,desarrollar procedimientos prueba demostrar conocimientos en electrónica,Desarrollar procedimientos prueba demostrar conocimientos en electrónica,4,Aplicar conocimientos en electrónica y electromecánica
mantener sistemas electrónica potencia,mantener sistemas demostrar conocimientos en electrónica potencia,Mantener sistemas demostrar conocimientos en electrónica potencia,4,Aplicar conocimientos en electrónica y electromecánica
operar instrumentos medición electrónica,operar instrumentos medición demostrar conocimientos en electrónica,Operar instrumentos medición demostrar conocimientos en electrónica,4,Aplicar conocimientos en electrónica y electromecánica
utilizar contratación pública electrónica,utilizar contratación pública demostrar conocimientos en electrónica,Utilizar contratación pública demostrar conocimientos en electrónica,4,Aplicar conocimientos en electrónica y electromecánica
confección electrónica prendas medida,confección demostrar conocimientos en electrónica prendas medida,Confección demostrar conocimientos en electrónica prendas medida,4,Aplicar conocimientos en electrónica y electromecánica
electromecánica,demostrar conocimientos sobre electromecánica,Demostrar conocimientos sobre electromecánica,4,Aplicar conocimientos en electrónica y electromecánica
principios electrónica,principios demostrar conocimientos en electrónica,Principios demostrar conocimientos en electrónica,4,Aplicar conocimientos en electrónica y electromecánica
edición electrónica,edición demostrar conocimientos en electrónica,Edición demostrar conocimientos en electrónica,4,Aplicar conocimientos en electrónica y electromecánica
electrónica,demostrar conocimientos en electrónica,Demostrar conocimientos en electrónica,4,Aplicar conocimientos en electrónica y electromecánica
electrónica consumo,demostrar conocimientos en electrónica consumo,Demostrar conocimientos en electrónica consumo,4,Aplicar conocimientos en electrónica y electromecánica
electrónica potencia,demostrar conocimientos en electrónica potencia,Demostrar conocimientos en electrónica potencia,4,Aplicar conocimientos en electrónica y electromecánica
tipos electrónica,tipos demostrar conocimientos en electrónica,Tipos demostrar conocimientos en electrónica,4,Aplicar conocimientos en electrónica y electromecánica
teoría electrónica analógica,teoría demostrar conocimientos en electrónica analógica,Teoría demostrar conocimientos en electrónica analógica,4,Aplicar conocimientos en electrónica y electromecánica
electroquímica,demostrar conocimientos sobre electroquímica,Demostrar conocimientos sobre electroquímica,4,Aplicar conocimientos en electrónica y electromecánica
realizar trabajos alto riesgo,trabajos alto riesgo,Realizar trabajos alto riesgo,5,Ejecutar tareas técnicas de alto riesgo
llevar cabo tareas técnicas minuciosamente,llevar cabo tareas técnicas minuciosamente,Llevar cabo tareas técnicas minuciosamente,5,Ejecutar tareas técnicas de alto riesgo
